Year,Award,Winner,Name,Film
1934,ACTRESS IN A LEADING ROLE,1,CLAUDETTE COLBERT,IT HAPPENED ONE NIGHT
1968,ACTOR IN A LEADING ROLE,1,CLIFF ROBERTSON,CHARLY
1948,ACTOR IN A LEADING ROLE,0,CLIFTON WEBB,SITTING PRETTY
1946,ACTOR IN A SUPPORTING ROLE,0,CLIFTON WEBB,THE RAZOR'S EDGE
1944,ACTOR IN A SUPPORTING ROLE,0,CLIFTON WEBB,LAURA
2004,ACTOR IN A LEADING ROLE,0,CLINT EASTWOOD,MILLION DOLLAR BABY
1992,ACTOR IN A LEADING ROLE,0,CLINT EASTWOOD,UNFORGIVEN
2004,ACTOR IN A SUPPORTING ROLE,0,CLIVE OWEN,CLOSER
1971,ACTRESS IN A SUPPORTING ROLE,1,CLORIS LEACHMAN,THE LAST PICTURE SHOW
1952,ACTRESS IN A SUPPORTING ROLE,0,COLETTE MARCHAND,MOULIN ROUGE
2010,ACTOR IN A LEADING ROLE,1,COLIN FIRTH,THE KING'S SPEECH
2009,ACTOR IN A LEADING ROLE,0,COLIN FIRTH,A SINGLE MAN
1929,ACTRESS IN A LEADING ROLE,0,CORINNE GRIFFITH,THE DIVINE LADY
1945,ACTOR IN A LEADING ROLE,0,CORNEL WILDE,A SONG TO REMEMBER
1967,ACTRESS IN A LEADING ROLE,0,DAME EDITH EVANS,THE WHISPERERS
1964,ACTRESS IN A SUPPORTING ROLE,0,DAME EDITH EVANS,THE CHALK GARDEN
1963,ACTRESS IN A SUPPORTING ROLE,0,DAME EDITH EVANS,TOM JONES
1942,ACTRESS IN A SUPPORTING ROLE,0,DAME MAY WHITTY,MRS. MINIVER
1937,ACTRESS IN A SUPPORTING ROLE,0,DAME MAY WHITTY,NIGHT MUST FALL
1989,ACTOR IN A SUPPORTING ROLE,0,DAN AYKROYD,DRIVING MISS DAISY
1948,ACTOR IN A LEADING ROLE,0,DAN DAILEY,WHEN MY BABY SMILES AT ME
1954,ACTOR IN A LEADING ROLE,0,DAN O'HERLIHY,ADVENTURES OF ROBINSON CRUSOE
1989,ACTOR IN A LEADING ROLE,1,DANIEL DAY LEWIS,MY LEFT FOOT
2012,ACTOR IN A LEADING ROLE,1,DANIEL DAY-LEWIS,LINCOLN
2007,ACTOR IN A LEADING ROLE,1,DANIEL DAY-LEWIS,THERE WILL BE BLOOD
2002,ACTOR IN A LEADING ROLE,0,DANIEL DAY-LEWIS,GANGS OF NEW YORK
1993,ACTOR IN A LEADING ROLE,0,DANIEL DAY-LEWIS,IN THE NAME OF THE FATHER
1968,ACTOR IN A SUPPORTING ROLE,0,DANIEL MASSEY,STAR!
1989,ACTOR IN A SUPPORTING ROLE,0,DANNY AIELLO,DO THE RIGHT THING
1958,ACTOR IN A LEADING ROLE,1,DAVID NIVEN,SEPARATE TABLES
1992,ACTOR IN A SUPPORTING ROLE,0,DAVID PAYMER,MR. SATURDAY NIGHT
2005,ACTOR IN A LEADING ROLE,0,DAVID STRATHAIRN,"GOOD NIGHT, AND GOOD LUCK."
1949,ACTOR IN A SUPPORTING ROLE,1,DEAN JAGGER,TWELVE O'CLOCK HIGH
1988,ACTOR IN A SUPPORTING ROLE,0,DEAN STOCKWELL,MARRIED TO THE MOB
1964,ACTRESS IN A LEADING ROLE,0,DEBBIE REYNOLDS,THE UNSINKABLE MOLLY BROWN
1960,ACTRESS IN A LEADING ROLE,0,DEBORAH KERR,THE SUNDOWNERS
1958,ACTRESS IN A LEADING ROLE,0,DEBORAH KERR,SEPARATE TABLES
1957,ACTRESS IN A LEADING ROLE,0,DEBORAH KERR,"HEAVEN KNOWS, MR. ALLISON"
1956,ACTRESS IN A LEADING ROLE,0,DEBORAH KERR,THE KING AND I
1953,ACTRESS IN A LEADING ROLE,0,DEBORAH KERR,FROM HERE TO ETERNITY
1949,ACTRESS IN A LEADING ROLE,0,DEBORAH KERR,"EDWARD, MY SON"
1993,ACTRESS IN A LEADING ROLE,0,DEBRA WINGER,SHADOWLANDS
1983,ACTRESS IN A LEADING ROLE,0,DEBRA WINGER,TERMS OF ENDEARMENT
1982,ACTRESS IN A LEADING ROLE,0,DEBRA WINGER,AN OFFICER AND A GENTLEMAN
2011,ACTOR IN A LEADING ROLE,0,DEMIíçN BICHIR,A BETTER LIFE
1986,ACTOR IN A SUPPORTING ROLE,0,DENHOLM ELLIOTT,A ROOM WITH A VIEW
1986,ACTOR IN A SUPPORTING ROLE,0,DENNIS HOPPER,HOOSIERS
2016,ACTOR IN A LEADING ROLE,0,DENZEL WASHINGTON,FENCES
2012,ACTOR IN A LEADING ROLE,0,DENZEL WASHINGTON,FLIGHT
2001,ACTOR IN A LEADING ROLE,1,DENZEL WASHINGTON,TRAINING DAY
1999,ACTOR IN A LEADING ROLE,0,DENZEL WASHINGTON,THE HURRICANE
1992,ACTOR IN A LEADING ROLE,0,DENZEL WASHINGTON,MALCOLM X
1989,ACTOR IN A SUPPORTING ROLE,1,DENZEL WASHINGTON,GLORY
1987,ACTOR IN A SUPPORTING ROLE,0,DENZEL WASHINGTON,CRY FREEDOM
2016,ACTOR IN A SUPPORTING ROLE,0,DEV PATEL,LION
1986,ACTOR IN A LEADING ROLE,0,DEXTER GORDON,'ROUND MIDNIGHT
1974,ACTRESS IN A LEADING ROLE,0,DIAHANN CARROLL,CLAUDINE
1972,ACTRESS IN A LEADING ROLE,0,DIANA ROSS,LADY SINGS THE BLUES
1980,ACTRESS IN A SUPPORTING ROLE,0,DIANA SCARWID,INSIDE MOVES
1933,ACTRESS IN A LEADING ROLE,0,DIANA WYNYARD,CAVALCADE
1963,ACTRESS IN A SUPPORTING ROLE,0,DIANE CILENTO,TOM JONES
2003,ACTRESS IN A LEADING ROLE,0,DIANE KEATON,SOMETHING'S GOTTA GIVE
1996,ACTRESS IN A LEADING ROLE,0,DIANE KEATON,MARVIN'S ROOM
1981,ACTRESS IN A LEADING ROLE,0,DIANE KEATON,REDS
1977,ACTRESS IN A LEADING ROLE,1,DIANE KEATON,ANNIE HALL
1991,ACTRESS IN A SUPPORTING ROLE,0,DIANE LADD,RAMBLING ROSE
1990,ACTRESS IN A SUPPORTING ROLE,0,DIANE LADD,WILD AT HEART
1974,ACTRESS IN A SUPPORTING ROLE,0,DIANE LADD,ALICE DOESN'T LIVE HERE ANYMORE
2002,ACTRESS IN A LEADING ROLE,0,DIANE LANE,UNFAITHFUL
1957,ACTRESS IN A SUPPORTING ROLE,0,DIANE VARSI,PEYTON PLACE
1994,ACTRESS IN A SUPPORTING ROLE,1,DIANNE WIEST,BULLETS OVER BROADWAY
1989,ACTRESS IN A SUPPORTING ROLE,0,DIANNE WIEST,PARENTHOOD
1986,ACTRESS IN A SUPPORTING ROLE,1,DIANNE WIEST,HANNAH AND HER SISTERS
2006,ACTOR IN A SUPPORTING ROLE,0,DJIMON HOUNSOU,BLOOD DIAMOND
2003,ACTOR IN A SUPPORTING ROLE,0,DJIMON HOUNSOU,IN AMERICA
1985,ACTOR IN A SUPPORTING ROLE,1,DON AMECHE,COCOON
2004,ACTOR IN A LEADING ROLE,0,DON CHEADLE,HOTEL RWANDA
1956,ACTOR IN A SUPPORTING ROLE,0,DON MURRAY,BUS STOP
1941,ACTOR IN A SUPPORTING ROLE,1,DONALD CRISP,HOW GREEN WAS MY VALLEY
1953,ACTRESS IN A SUPPORTING ROLE,1,DONNA REED,FROM HERE TO ETERNITY
1959,ACTRESS IN A LEADING ROLE,0,DORIS DAY,PILLOW TALK
1954,ACTRESS IN A LEADING ROLE,0,DOROTHY DANDRIDGE,CARMEN JONES
1956,ACTRESS IN A SUPPORTING ROLE,1,DOROTHY MALONE,WRITTEN ON THE WIND
1947,ACTRESS IN A LEADING ROLE,0,DOROTHY MCGUIRE,GENTLEMAN'S AGREEMENT
1981,ACTOR IN A LEADING ROLE,0,DUDLEY MOORE,ARTHUR
1997,ACTOR IN A LEADING ROLE,0,DUSTIN HOFFMAN,WAG THE DOG
1988,ACTOR IN A LEADING ROLE,1,DUSTIN HOFFMAN,RAIN MAN
1982,ACTOR IN A LEADING ROLE,0,DUSTIN HOFFMAN,TOOTSIE
1979,ACTOR IN A LEADING ROLE,1,DUSTIN HOFFMAN,KRAMER VS. KRAMER
1974,ACTOR IN A LEADING ROLE,0,DUSTIN HOFFMAN,LENNY
1969,ACTOR IN A LEADING ROLE,0,DUSTIN HOFFMAN,MIDNIGHT COWBOY
1967,ACTOR IN A LEADING ROLE,0,DUSTIN HOFFMAN,THE GRADUATE
1978,ACTRESS IN A SUPPORTING ROLE,0,DYAN CANNON,HEAVEN CAN WAIT
1969,ACTRESS IN A SUPPORTING ROLE,0,DYAN CANNON,BOB & CAROL & TED & ALICE
1962,ACTOR IN A SUPPORTING ROLE,1,ED BEGLEY,SWEET BIRD OF YOUTH
2002,ACTOR IN A SUPPORTING ROLE,0,ED HARRIS,THE HOURS
2000,ACTOR IN A LEADING ROLE,0,ED HARRIS,POLLOCK
1998,ACTOR IN A SUPPORTING ROLE,0,ED HARRIS,THE TRUMAN SHOW
1995,ACTOR IN A SUPPORTING ROLE,0,ED HARRIS,APOLLO 13
1959,ACTOR IN A SUPPORTING ROLE,0,ED WYNN,THE DIARY OF ANNE FRANK
1972,ACTOR IN A SUPPORTING ROLE,0,EDDIE ALBERT,THE HEARTBREAK KID
1953,ACTOR IN A SUPPORTING ROLE,0,EDDIE ALBERT,ROMAN HOLIDAY
2006,ACTOR IN A SUPPORTING ROLE,0,EDDIE MURPHY,DREAMGIRLS
2015,ACTOR IN A LEADING ROLE,0,EDDIE REDMAYNE,THE DANISH GIRL
2014,ACTOR IN A LEADING ROLE,1,EDDIE REDMAYNE,THE THEORY OF EVERYTHING
1964,ACTOR IN A SUPPORTING ROLE,0,EDMOND O'BRIEN,SEVEN DAYS IN MAY
1954,ACTOR IN A SUPPORTING ROLE,1,EDMOND O'BRIEN,THE BAREFOOT CONTESSA
1950,ACTOR IN A SUPPORTING ROLE,0,EDMUND GWENN,MISTER 880
1947,ACTOR IN A SUPPORTING ROLE,1,EDMUND GWENN,MIRACLE ON 34TH STREET
1939,ACTRESS IN A SUPPORTING ROLE,0,EDNA MAY OLIVER,DRUMS ALONG THE MOHAWK
1988,ACTOR IN A LEADING ROLE,0,EDWARD JAMES OLMOS,STAND AND DELIVER
2014,ACTOR IN A SUPPORTING ROLE,0,EDWARD NORTON,BIRDMAN OR (THE UNEXPECTED VIRTUE OF IGNORANCE)
1998,ACTOR IN A LEADING ROLE,0,EDWARD NORTON,AMERICAN HISTORY X
1996,ACTOR IN A SUPPORTING ROLE,0,EDWARD NORTON,PRIMAL FEAR
1980,ACTRESS IN A SUPPORTING ROLE,0,EILEEN BRENNAN,PRIVATE BENJAMIN
1972,ACTRESS IN A SUPPORTING ROLE,1,EILEEN HECKART,BUTTERFLIES ARE FREE
1956,ACTRESS IN A SUPPORTING ROLE,0,EILEEN HECKART,THE BAD SEED
1955,ACTRESS IN A LEADING ROLE,0,ELEANOR PARKER,INTERRUPTED MELODY
1951,ACTRESS IN A LEADING ROLE,0,ELEANOR PARKER,DETECTIVE STORY
1950,ACTRESS IN A LEADING ROLE,0,ELEANOR PARKER,CAGED
1935,ACTRESS IN A LEADING ROLE,0,ELISABETH BERGNER,ESCAPE ME NEVER
1995,ACTRESS IN A LEADING ROLE,0,ELISABETH SHUE,LEAVING LAS VEGAS
1965,ACTRESS IN A LEADING ROLE,0,ELIZABETH HARTMAN,A PATCH OF BLUE
1981,ACTRESS IN A SUPPORTING ROLE,0,ELIZABETH MCGOVERN,RAGTIME
1966,ACTRESS IN A LEADING ROLE,1,ELIZABETH TAYLOR,WHO'S AFRAID OF VIRGINIA WOOLF?
1960,ACTRESS IN A LEADING ROLE,1,ELIZABETH TAYLOR,BUTTERFIELD 8
1959,ACTRESS IN A LEADING ROLE,0,ELIZABETH TAYLOR,"SUDDENLY, LAST SUMMER"
1958,ACTRESS IN A LEADING ROLE,0,ELIZABETH TAYLOR,CAT ON A HOT TIN ROOF
1957,ACTRESS IN A LEADING ROLE,0,ELIZABETH TAYLOR,RAINTREE COUNTY
2000,ACTRESS IN A LEADING ROLE,0,ELLEN BURSTYN,REQUIEM FOR A DREAM
1980,ACTRESS IN A LEADING ROLE,0,ELLEN BURSTYN,RESURRECTION
1978,ACTRESS IN A LEADING ROLE,0,ELLEN BURSTYN,"SAME TIME, NEXT YEAR"
1974,ACTRESS IN A LEADING ROLE,1,ELLEN BURSTYN,ALICE DOESN'T LIVE HERE ANYMORE
1973,ACTRESS IN A LEADING ROLE,0,ELLEN BURSTYN,THE EXORCIST
1971,ACTRESS IN A SUPPORTING ROLE,0,ELLEN BURSTYN,THE LAST PICTURE SHOW
1948,ACTRESS IN A SUPPORTING ROLE,0,ELLEN CORBY,I REMEMBER MAMA
2007,ACTRESS IN A LEADING ROLE,0,ELLEN PAGE,JUNO
1969,ACTOR IN A SUPPORTING ROLE,0,ELLIOTT GOULD,BOB & CAROL & TED & ALICE
1957,ACTRESS IN A SUPPORTING ROLE,0,ELSA LANCHESTER,WITNESS FOR THE PROSECUTION
1949,ACTRESS IN A SUPPORTING ROLE,0,ELSA LANCHESTER,COME TO THE STABLE
1928,ACTOR IN A LEADING ROLE,1,EMIL JANNINGS,THE LAST COMMAND
1998,ACTRESS IN A LEADING ROLE,0,EMILY WATSON,HILARY AND JACKIE
1996,ACTRESS IN A LEADING ROLE,0,EMILY WATSON,BREAKING THE WAVES
2016,ACTRESS IN A LEADING ROLE,0,EMMA STONE,LA LA LAND
2014,ACTRESS IN A SUPPORTING ROLE,0,EMMA STONE,BIRDMAN OR (THE UNEXPECTED VIRTUE OF IGNORANCE)
1995,ACTRESS IN A LEADING ROLE,0,EMMA THOMPSON,SENSE AND SENSIBILITY
1993,ACTRESS IN A SUPPORTING ROLE,0,EMMA THOMPSON,IN THE NAME OF THE FATHER
1993,ACTRESS IN A LEADING ROLE,0,EMMA THOMPSON,THE REMAINS OF THE DAY
1992,ACTRESS IN A LEADING ROLE,1,EMMA THOMPSON,HOWARDS END
2012,ACTRESS IN A LEADING ROLE,0,EMMANUELLE RIVA,AMOUR
1985,ACTOR IN A SUPPORTING ROLE,0,ERIC ROBERTS,RUNAWAY TRAIN
1950,ACTOR IN A SUPPORTING ROLE,0,ERICH VON STROHEIM,SUNSET BLVD.
1955,ACTOR IN A LEADING ROLE,1,ERNEST BORGNINE,MARTY
1968,ACTRESS IN A SUPPORTING ROLE,0,ESTELLE PARSONS,"RACHEL, RACHEL"
1967,ACTRESS IN A SUPPORTING ROLE,1,ESTELLE PARSONS,BONNIE AND CLYDE
2014,ACTOR IN A SUPPORTING ROLE,0,ETHAN HAWKE,BOYHOOD
2001,ACTOR IN A SUPPORTING ROLE,0,ETHAN HAWKE,TRAINING DAY
1949,ACTRESS IN A SUPPORTING ROLE,0,ETHEL BARRYMORE,PINKY
1947,ACTRESS IN A SUPPORTING ROLE,0,ETHEL BARRYMORE,THE PARADINE CASE
1946,ACTRESS IN A SUPPORTING ROLE,0,ETHEL BARRYMORE,THE SPIRAL STAIRCASE
1944,ACTRESS IN A SUPPORTING ROLE,1,ETHEL BARRYMORE,NONE BUT THE LONELY HEART
1949,ACTRESS IN A SUPPORTING ROLE,0,ETHEL WATERS,PINKY
1980,ACTRESS IN A SUPPORTING ROLE,0,EVA LE GALLIENNE,RESURRECTION
1954,ACTRESS IN A SUPPORTING ROLE,1,EVA MARIE SAINT,ON THE WATERFRONT
1945,ACTRESS IN A SUPPORTING ROLE,0,EVE ARDEN,MILDRED PIERCE
1984,ACTOR IN A LEADING ROLE,1,F. MURRAY ABRAHAM,AMADEUS
1961,ACTRESS IN A SUPPORTING ROLE,0,FAY BAINTER,THE CHILDREN'S HOUR
1938,ACTRESS IN A LEADING ROLE,0,FAY BAINTER,WHITE BANNERS
1938,ACTRESS IN A SUPPORTING ROLE,1,FAY BAINTER,JEZEBEL
1976,ACTRESS IN A LEADING ROLE,1,FAYE DUNAWAY,NETWORK
1974,ACTRESS IN A LEADING ROLE,0,FAYE DUNAWAY,CHINATOWN
1967,ACTRESS IN A LEADING ROLE,0,FAYE DUNAWAY,BONNIE AND CLYDE
2005,ACTRESS IN A LEADING ROLE,0,FELICITY HUFFMAN,TRANSAMERICA
2014,ACTRESS IN A LEADING ROLE,0,FELICITY JONES,THE THEORY OF EVERYTHING
1998,ACTRESS IN A LEADING ROLE,0,FERNANDA MONTENEGRO,CENTRAL STATION
1946,ACTRESS IN A SUPPORTING ROLE,0,FLORA ROBSON,SARATOGA TRUNK
2006,ACTOR IN A LEADING ROLE,1,FOREST WHITAKER,THE LAST KING OF SCOTLAND
2005,ACTRESS IN A SUPPORTING ROLE,0,FRANCES MCDORMAND,NORTH COUNTRY
2000,ACTRESS IN A SUPPORTING ROLE,0,FRANCES MCDORMAND,ALMOST FAMOUS
1996,ACTRESS IN A LEADING ROLE,1,FRANCES MCDORMAND,FARGO
1988,ACTRESS IN A SUPPORTING ROLE,0,FRANCES MCDORMAND,MISSISSIPPI BURNING
1935,ACTOR IN A LEADING ROLE,0,FRANCHOT TONE,MUTINY ON THE BOUNTY
1965,ACTOR IN A SUPPORTING ROLE,0,FRANK FINLAY,OTHELLO
2008,ACTOR IN A LEADING ROLE,0,FRANK LANGELLA,FROST/NIXON
1942,ACTOR IN A SUPPORTING ROLE,0,FRANK MORGAN,TORTILLA FLAT
1934,ACTOR IN A LEADING ROLE,0,FRANK MORGAN,THE AFFAIRS OF CELLINI
1955,ACTOR IN A LEADING ROLE,0,FRANK SINATRA,THE MAN WITH THE GOLDEN ARM
1953,ACTOR IN A SUPPORTING ROLE,1,FRANK SINATRA,FROM HERE TO ETERNITY
1974,ACTOR IN A SUPPORTING ROLE,0,FRED ASTAIRE,THE TOWERING INFERNO
1979,ACTOR IN A SUPPORTING ROLE,0,FREDERIC FORREST,THE ROSE
1951,ACTOR IN A LEADING ROLE,0,FREDRIC MARCH,DEATH OF A SALESMAN
1946,ACTOR IN A LEADING ROLE,1,FREDRIC MARCH,THE BEST YEARS OF OUR LIVES
1937,ACTOR IN A LEADING ROLE,0,FREDRIC MARCH,A STAR IS BORN
1932,ACTOR IN A LEADING ROLE,1,FREDRIC MARCH,DR. JEKYLL AND MR. HYDE
1931,ACTOR IN A LEADING ROLE,0,FREDRIC MARCH,THE ROYAL FAMILY OF BROADWAY
2009,ACTRESS IN A LEADING ROLE,0,GABOUREY SIDIBE,PRECIOUS: BASED ON THE NOVEL 'PUSH' BY SAPPHIRE
1946,ACTRESS IN A SUPPORTING ROLE,0,GALE SONDERGAARD,ANNA AND THE KING OF SIAM
1936,ACTRESS IN A SUPPORTING ROLE,1,GALE SONDERGAARD,ANTHONY ADVERSE
1978,ACTOR IN A LEADING ROLE,0,GARY BUSEY,THE BUDDY HOLLY STORY
1952,ACTOR IN A LEADING ROLE,1,GARY COOPER,HIGH NOON
1943,ACTOR IN A LEADING ROLE,0,GARY COOPER,FOR WHOM THE BELL TOLLS
1942,ACTOR IN A LEADING ROLE,0,GARY COOPER,THE PRIDE OF THE YANKEES
1941,ACTOR IN A LEADING ROLE,1,GARY COOPER,SERGEANT YORK
1936,ACTOR IN A LEADING ROLE,0,GARY COOPER,MR. DEEDS GOES TO TOWN
2011,ACTOR IN A LEADING ROLE,0,GARY OLDMAN,TINKER TAILOR SOLDIER SPY
1994,ACTOR IN A SUPPORTING ROLE,0,GARY SINISE,FORREST GUMP
1991,ACTRESS IN A LEADING ROLE,0,GEENA DAVIS,THELMA & LOUISE
1988,ACTRESS IN A SUPPORTING ROLE,1,GEENA DAVIS,THE ACCIDENTAL TOURIST
1980,ACTRESS IN A LEADING ROLE,0,GENA ROWLANDS,GLORIA
1974,ACTRESS IN A LEADING ROLE,0,GENA ROWLANDS,A WOMAN UNDER THE INFLUENCE
1992,ACTOR IN A SUPPORTING ROLE,1,GENE HACKMAN,UNFORGIVEN
1988,ACTOR IN A LEADING ROLE,0,GENE HACKMAN,MISSISSIPPI BURNING
1971,ACTOR IN A LEADING ROLE,1,GENE HACKMAN,THE FRENCH CONNECTION
1970,ACTOR IN A SUPPORTING ROLE,0,GENE HACKMAN,I NEVER SANG FOR MY FATHER
1967,ACTOR IN A SUPPORTING ROLE,0,GENE HACKMAN,BONNIE AND CLYDE
1945,ACTOR IN A LEADING ROLE,0,GENE KELLY,ANCHORS AWEIGH
1938,ACTOR IN A SUPPORTING ROLE,0,GENE LOCKHART,ALGIERS
1945,ACTRESS IN A LEADING ROLE,0,GENE TIERNEY,LEAVE HER TO HEAVEN
1968,ACTOR IN A SUPPORTING ROLE,0,GENE WILDER,THE PRODUCERS
1969,ACTRESS IN A LEADING ROLE,0,GENEVIEVE BUJOLD,ANNE OF THE THOUSAND DAYS
2010,ACTOR IN A SUPPORTING ROLE,0,GEOFFREY RUSH,THE KING'S SPEECH
2000,ACTOR IN A LEADING ROLE,0,GEOFFREY RUSH,QUILLS
1998,ACTOR IN A SUPPORTING ROLE,0,GEOFFREY RUSH,SHAKESPEARE IN LOVE
1996,ACTOR IN A LEADING ROLE,1,GEOFFREY RUSH,SHINE
1930,ACTOR IN A LEADING ROLE,0,GEORGE ARLISS,THE GREEN GODDESS
1930,ACTOR IN A LEADING ROLE,1,GEORGE ARLISS,DISRAELI
1929,ACTOR IN A LEADING ROLE,0,GEORGE BANCROFT,THUNDERBOLT
1975,ACTOR IN A SUPPORTING ROLE,1,GEORGE BURNS,THE SUNSHINE BOYS
1971,ACTOR IN A LEADING ROLE,0,GEORGE C. SCOTT,THE HOSPITAL
1970,ACTOR IN A LEADING ROLE,1,GEORGE C. SCOTT,PATTON
1961,ACTOR IN A SUPPORTING ROLE,0,GEORGE C. SCOTT,THE HUSTLER
1959,ACTOR IN A SUPPORTING ROLE,0,GEORGE C. SCOTT,ANATOMY OF A MURDER
1961,ACTOR IN A SUPPORTING ROLE,1,GEORGE CHAKIRIS,WEST SIDE STORY
2011,ACTOR IN A LEADING ROLE,0,GEORGE CLOONEY,THE DESCENDANTS
2009,ACTOR IN A LEADING ROLE,0,GEORGE CLOONEY,UP IN THE AIR
2007,ACTOR IN A LEADING ROLE,0,GEORGE CLOONEY,MICHAEL CLAYTON
2005,ACTOR IN A SUPPORTING ROLE,1,GEORGE CLOONEY,SYRIANA
1967,ACTOR IN A SUPPORTING ROLE,1,GEORGE KENNEDY,COOL HAND LUKE
1950,ACTOR IN A SUPPORTING ROLE,1,GEORGE SANDERS,ALL ABOUT EVE
1966,ACTOR IN A SUPPORTING ROLE,0,GEORGE SEGAL,WHO'S AFRAID OF VIRGINIA WOOLF?
1939,ACTRESS IN A SUPPORTING ROLE,0,GERALDINE FITZGERALD,WUTHERING HEIGHTS
1985,ACTRESS IN A LEADING ROLE,1,GERALDINE PAGE,THE TRIP TO BOUNTIFUL
1984,ACTRESS IN A SUPPORTING ROLE,0,GERALDINE PAGE,THE POPE OF GREENWICH VILLAGE
1978,ACTRESS IN A LEADING ROLE,0,GERALDINE PAGE,INTERIORS
1972,ACTRESS IN A SUPPORTING ROLE,0,GERALDINE PAGE,PETE 'N' TILLIE
1966,ACTRESS IN A SUPPORTING ROLE,0,GERALDINE PAGE,YOU'RE A BIG BOY NOW
1962,ACTRESS IN A LEADING ROLE,0,GERALDINE PAGE,SWEET BIRD OF YOUTH
1961,ACTRESS IN A LEADING ROLE,0,GERALDINE PAGE,SUMMER AND SMOKE
1953,ACTRESS IN A SUPPORTING ROLE,0,GERALDINE PAGE,HONDO
1990,ACTOR IN A LEADING ROLE,0,GERARD DEPARDIEU,CYRANO DE BERGERAC
1976,ACTOR IN A LEADING ROLE,0,GIANCARLO GIANNINI,SEVEN BEAUTIES
1969,ACTOR IN A SUPPORTING ROLE,1,GIG YOUNG,"THEY SHOOT HORSES, DON'T THEY?"
1958,ACTOR IN A SUPPORTING ROLE,0,GIG YOUNG,TEACHER'S PET
1951,ACTOR IN A SUPPORTING ROLE,0,GIG YOUNG,COME FILL THE CUP
1940,ACTRESS IN A LEADING ROLE,1,GINGER ROGERS,KITTY FOYLE
1964,ACTRESS IN A SUPPORTING ROLE,0,GLADYS COOPER,MY FAIR LADY
1943,ACTRESS IN A SUPPORTING ROLE,0,GLADYS COOPER,THE SONG OF BERNADETTE
1942,ACTRESS IN A SUPPORTING ROLE,0,GLADYS COOPER,"NOW, VOYAGER"
1936,ACTRESS IN A LEADING ROLE,0,GLADYS GEORGE,VALIANT IS THE WORD FOR CARRIE
1975,ACTRESS IN A LEADING ROLE,0,GLENDA JACKSON,HEDDA
1973,ACTRESS IN A LEADING ROLE,1,GLENDA JACKSON,A TOUCH OF CLASS
1971,ACTRESS IN A LEADING ROLE,0,GLENDA JACKSON,SUNDAY BLOODY SUNDAY
1970,ACTRESS IN A LEADING ROLE,1,GLENDA JACKSON,WOMEN IN LOVE
2011,ACTRESS IN A LEADING ROLE,0,GLENN CLOSE,ALBERT NOBBS
1988,ACTRESS IN A LEADING ROLE,0,GLENN CLOSE,DANGEROUS LIAISONS
1987,ACTRESS IN A LEADING ROLE,0,GLENN CLOSE,FATAL ATTRACTION
1984,ACTRESS IN A SUPPORTING ROLE,0,GLENN CLOSE,THE NATURAL
1983,ACTRESS IN A SUPPORTING ROLE,0,GLENN CLOSE,THE BIG CHILL
1982,ACTRESS IN A SUPPORTING ROLE,0,GLENN CLOSE,THE WORLD ACCORDING TO GARP
1952,ACTRESS IN A SUPPORTING ROLE,1,GLORIA GRAHAME,THE BAD AND THE BEAUTIFUL
1947,ACTRESS IN A SUPPORTING ROLE,0,GLORIA GRAHAME,CROSSFIRE
1997,ACTRESS IN A SUPPORTING ROLE,0,GLORIA STUART,TITANIC
1950,ACTRESS IN A LEADING ROLE,0,GLORIA SWANSON,SUNSET BLVD.
1930,ACTRESS IN A LEADING ROLE,0,GLORIA SWANSON,THE TRESPASSER
1928,ACTRESS IN A LEADING ROLE,0,GLORIA SWANSON,SADIE THOMPSON
1960,ACTRESS IN A SUPPORTING ROLE,0,GLYNIS JOHNS,THE SUNDOWNERS
1980,ACTRESS IN A LEADING ROLE,0,GOLDIE HAWN,PRIVATE BENJAMIN
1969,ACTRESS IN A SUPPORTING ROLE,1,GOLDIE HAWN,CACTUS FLOWER
1954,ACTRESS IN A LEADING ROLE,1,GRACE KELLY,THE COUNTRY GIRL
1953,ACTRESS IN A SUPPORTING ROLE,0,GRACE KELLY,MOGAMBO
1934,ACTRESS IN A LEADING ROLE,0,GRACE MOORE,ONE NIGHT OF LOVE
1990,ACTOR IN A SUPPORTING ROLE,0,GRAHAM GREENE,DANCES WITH WOLVES
1964,ACTRESS IN A SUPPORTING ROLE,0,GRAYSON HALL,THE NIGHT OF THE IGUANA
1960,ACTRESS IN A LEADING ROLE,0,GREER GARSON,SUNRISE AT CAMPOBELLO
1945,ACTRESS IN A LEADING ROLE,0,GREER GARSON,THE VALLEY OF DECISION
1944,ACTRESS IN A LEADING ROLE,0,GREER GARSON,MRS. PARKINGTON
1943,ACTRESS IN A LEADING ROLE,0,GREER GARSON,MADAME CURIE
1942,ACTRESS IN A LEADING ROLE,1,GREER GARSON,MRS. MINIVER
1941,ACTRESS IN A LEADING ROLE,0,GREER GARSON,BLOSSOMS IN THE DUST
1939,ACTRESS IN A LEADING ROLE,0,GREER GARSON,"GOODBYE, MR. CHIPS"
1997,ACTOR IN A SUPPORTING ROLE,0,GREG KINNEAR,AS GOOD AS IT GETS
1962,ACTOR IN A LEADING ROLE,1,GREGORY PECK,TO KILL A MOCKINGBIRD
1949,ACTOR IN A LEADING ROLE,0,GREGORY PECK,TWELVE O'CLOCK HIGH
1947,ACTOR IN A LEADING ROLE,0,GREGORY PECK,GENTLEMAN'S AGREEMENT
